au,kunde,gesamt,vorlauf,lager,unsicherheit
AU2026042113576,UAB Portana,19.0,2.0,16,32
AU2026042113577,Sam Schotte,2.0,1.0,1,1
AU2026042113580,GGY Trade s.r.o.,19.0,1.0,17,32
AU2026042213581,Hanseatic georgia LLC,18.0,0.0,17,32
AU2026042213582,Trade S.R.O. Számlázási,1.0,0.0,0,1
AU2026042313585,M&J TRADE D.O.O.,17.0,0.0,16,32
AU2026042313587,IG international trading GmbH,17.0,0.0,16,32
AU2026042413593,Euroda Transport &Handel,48.0,3.0,45,1
AU2026042913603,KOUTLIANOS NIKOS,31.0,0.0,30,9
AU2026050413610,AMY Witgoed,41.0,1.0,39,4
AU2026050813618,Enno Kundendienst,22.0,10.0,11,9
AU2026051113624,Outlet Mebeli Ltd,19.0,4.0,14,9
AU2026051213626,Kaldi Prime Kft,18.0,6.0,12,9
AU2026051213627,Ovitshop,33.0,6.0,26,4
AU2026051313630,Todo Cash,22.0,2.0,19,1
AU2026051513634,MON-LIP ROCK KFT,15.0,0.0,14,9
AU2026051513637,M&J TRADE D.O.O.,15.0,6.0,8,9
AU2026051513638,Marketvibe Srl,15.0,6.0,8,9
AU2026051813642,IG international trading GmbH,27.0,8.0,18,4
AU2026051913649,P&C Trading B.V.,11.0,1.0,10,9
AU2026051913650,P&C Trading B.V.,11.0,2.0,8,9
AU2026052013652,Outlet Mebeli Ltd,37.0,0.0,36,7
AU2026052113656,Todo Cash,14.0,0.0,13,1
AU2026052113657,Buy24,9.0,1.0,7,9
AU2026052113658,Ovitshop,9.0,1.0,7,9
AU2026052113660,Alayham Shakantana,20.0,1.0,18,1
AU2026052213664,P&C Trading B.V.,8.0,0.0,7,9
AU2026052213669,Outlet Simex D.O.O,8.0,4.0,3,9
AU2026052613674,P&C Trading B.V.,4.0,0.0,3,9
AU2026051913644,TECHNO ELECTRONICS 5 Ltd,61.0,15.0,45,4
AU2026051913647,Karakitsos Stock House IKE,19.0,10.0,8,4
AU2026052213670,Markaris Petros,16.0,10.0,5,4
AU2026052613671,Hanseatic georgia LLC,12.0,3.0,8,4
AU2026052613675,GGY Trade s.r.o.,31.0,3.0,27,7
AU2026052713677,Daniel Toska,8.0,5.0,2,1
AU2026052713678,Alayham Shakantana,15.0,1.0,13,1
AU2026052713680,KOUTLIANOS NIKOS,13.0,1.0,11,1
AU2026052813684,Nikokira Outlet,10.0,1.0,8,4
AU2026052813686,KOUTLIANOS NIKOS,12.0,0.0,11,1
AU2026052913687,Karakitsos Stock House IKE,9.0,0.0,8,4
AU2026052913691,Deland Ltd EOOD,12.0,3.0,8,1
AU2026060113692,elvinci Privat testx,13.0,1.0,11,4
AU2026060113693,Trade S.R.O. Számlázási,6.0,0.0,5,4
AU2026060213694,Gujjar Begum,15.0,1.0,14,1
AU2026060213696,Buy24,9.0,1.0,7,1
AU2026060213697,RU Recycling und Umweltdienst GmbH,5.0,1.0,3,4
AU2026060213698,Nagy Szabolcs Bela,7.0,1.0,6,1
AU2026060313702,Hermans Trading BV,18.0,2.0,15,4
AU2026060513703,Sefik,6.0,0.0,5,1
AU2026060513704,M&J TRADE D.O.O.,11.0,0.0,10,1
AU2026060513706,Warriors Cascade Lda,4.0,0.0,3,1
AU2026052713679,AMY Witgoed,18.0,13.0,4,4
AU2026060313699,Hanseatic georgia LLC,18.0,5.0,12,4
AU2026060913711,Warriors Cascade Lda,9.0,0.0,8,1
AU2026052213668,UAB STEVIJA,43.0,19.0,23,7
AU2026052013655,Simex D.O.O,28.0,22.0,6,1
AU2026060313701,IG international trading GmbH,11.0,8.0,2,4
AU2026060813709,Egzoni Sh.P.K,32.0,3.0,28,5
AU2026060913710,M&J TRADE D.O.O.,7.0,2.0,5,1
AU2026061013715,(ohne Kundenname),6.0,1.0,5,1
AU2026061113716,Hanseatic georgia LLC,10.0,0.0,9,4
AU2026061213724,Banat Electrocasnice S.R.L.,22.0,4.0,17,7
AU2026061513726,Alma Trading Company,6.0,0.0,5,4
AU2026061513727,RU Recycling und Umweltdienst GmbH,1.0,0.0,0,1
AU2026061513728,Gujjar Begum,2.0,0.0,1,1
AU2026061513730,J & B Express,6.0,2.0,3,4
AU2026061613736,Outlet Simex D.O.O,10.0,1.0,9,7
AU2026061113718,Enterijer D.O.O.,10.0,7.0,2,4
AU2026061613739,Kaldi Prime Kft,24.0,2.0,22,5
AU2026061713740,Banat Electrocasnice S.R.L.,28.0,1.0,26,4
AU2026061813743,Buy24,3.0,0.0,2,4
AU2026061213721,UAB STEVIJA,22.0,7.0,14,7
AU2026061613732,Soutis Electrics,10.0,3.0,6,7
AU2026061813746,Techno Vision Group Ltd,8.0,1.0,6,7
AU2026062313758,Soutis Electrics,3.0,0.0,2,7
AU2026061213722,UAB Portana,33.0,17.0,15,4
AU2026061513729,Hermans Trading BV,30.0,11.0,18,4
AU2026061613733,Elektro Sinizig,18.0,13.0,5,7
AU2026062213756,IG international trading GmbH,8.0,4.0,3,1
AU2026062413761,Ovitshop,21.0,6.0,14,4
AU2026062413762,Trade S.R.O. Számlázási,10.0,1.0,8,7
AU2026062413763,UAB Buitikas,16.0,1.0,14,5
AU2026062513764,UAB Buitikas,15.0,1.0,13,5
AU2026062613768,L&L Electronics Kft,8.0,3.0,5,7
AU2026062913769,Trade S.R.O. Számlázási,5.0,1.0,3,7
AU20S00024,Hermans Trading BV,,,7,7
S00045,IG international trading GmbH,,,0,1
S00049,L&L Electronics Kft,,,5,7
AU2026061913750,Hanseatic georgia LLC,26.0,12.0,13,4
AU2026062913770,Egzoni Sh.P.K,11.0,2.0,9,5
AU2026062913775,Banat Electrocasnice S.R.L.,16.0,2.0,13,4
AU2026063013777,UAB Buitikas,10.0,1.0,9,5
S00056,Elektro Sinizig,,,2,7
S00066,BOSAK Sp z o.o.,,,37,21
S00068,SC Interm Grup SRL,,,2,7
S00071,"""KAJTEK"" Patrycja Minkina",,,2,7
S00080,(ohne Kundenname),,,13,4
AU2026062913771,TECHNO ELECTRONICS 5 Ltd,20.0,4.0,15,4
AU2026062913772,Hermans Trading BV,16.0,4.0,11,4
AU2026062913774,UAB STEVIJA,39.0,8.0,31,21
AU2026062913776,Ovitshop,16.0,8.0,7,4
S00112,Jume Market,,,2,5
S00141,RU Recycling und Umweltdienst GmbH,,,3,5
S00143,UAB Buitikas,,,2,5
S00144,UAB Buitikas,,,2,5
S00170,Techno Planet LTD,,,30,21
S00171,Bastounis Anastasios,,,2,5
S00172,UAB Portana,,,6,4
S00174,IDEA EOOD,,,6,4
AU2026062913773,Ovitshop,16.0,11.0,4,4
S00211,Hanseatic georgia LLC,,,5,4
S00216,Hermans Trading BV,,,1,4
S00225,Ovitshop,,,1,4
S00236,IG international trading GmbH,,,1,4
S00245,Almost New LTD,,,1,4
S00267,Hanseatic georgia LLC,,,1,4
S00277,TECHNO ELECTRONICS 5 Ltd,,,3,4
S00286,KOUTLIANOS NIKOS,,,6,2
S00312,Techno Vision Group Ltd,,,1,4
S00337,Emporia antalaktikon-Ilektrikon syskeuon,,,1,4
S00340,"Les Petits Pieds S.R.L,",,,4,2
S00354,Rati Marti,,,20,21
S00311,W.D.S. D.o.o.,,,5,5
S00352,SADI,,,18,21
S00370,Nikokira Outlet,,,1,2
S00388,Outlet Simex D.O.O,,,4,5
S003370,Emporia antalaktikon-Ilektrikon syskeuon,,,15,21
S00338,Green Loop GmbH,,,16,21
S00400,KOUTLIANOS NIKOS,,,16,21
S00433,Deland Ltd EOOD,,,15,21
S00456,Trade S.R.O. Számlázási,,,3,5
S00491,UAB STEVIJA,,,15,21
S00493,"BOSAK Sp z o.o.,",,,15,21
S00494,Fortis Impex Kft,,,15,21
S00500,Sefik,,,2,5
S00507,NEO VENTO d.o.o.,,,2,5
S00509,SADI,,,14,21
S00511,Simex D.O.O,,,14,21
S00288,Alma Trading company,,,14,21
S00478,AURORA SOLAR ENERGY DOO,,,10,21
S00556,J&B EXPRESS,,,11,21
S00561,AMY Witgoed,,,13,21
S00568,J&B EXPRESS,,,11,21
S00578,J&B EXPRESS,,,10,21
S00582,Nikokira Outlet,,,10,21
S00585,Rati Marti,,,9,21
S00591,UAB Portana,,,10,21
S00592,Lubomir Karwot Outlet AGD,,,10,21
S00609,Hanseatic georgia LLC,,,9,21
S00611,Outlet Loket,,,9,21
S00622,(ohne Kundenname),,,9,21
S00624,Outlet Loket,,,9,21
S00625,IG international trading GmbH,,,9,21
S00627,SOS Hausgeräte Radtke,,,9,21
